lag_ns	cadence	port	agg_gbps	mean_gbps	stdev_gbps	cov_pct	retrans	flows
100000	1	5203	23.46	1.955	1.212	62.0	63	0.98,0.98,0.99,1.00,1.30,1.31,1.31,1.95,1.99,3.86,3.89,3.90
100000	1	5204	12.41	1.034	0.306	29.6	12	0.74,0.74,0.74,0.96,0.96,0.98,0.98,1.05,1.06,1.15,1.15,1.89
100000	8	5203	23.41	1.951	1.079	55.3	9686	0.94,0.95,0.95,0.95,0.96,2.32,2.33,2.36,2.36,2.37,2.37,4.56
100000	8	5204	12.41	1.034	0.275	26.6	20	0.81,0.81,0.81,0.93,0.93,0.98,0.98,1.02,1.02,1.14,1.14,1.83
100000	16	5203	23.46	1.955	0.963	49.3	24	1.05,1.30,1.31,1.32,1.38,1.47,1.95,1.96,1.96,1.97,3.88,3.92
100000	16	5204	12.40	1.034	0.500	48.4	5	0.53,0.53,0.53,0.53,0.99,0.99,1.01,1.01,1.25,1.25,1.63,2.17
250000	1	5203	23.46	1.955	1.212	62.0	118	0.97,0.99,0.99,1.00,1.29,1.32,1.33,1.95,1.99,3.85,3.89,3.90
250000	1	5204	12.41	1.034	0.390	37.8	14	0.73,0.73,0.73,0.78,0.78,0.78,1.04,1.04,1.13,1.13,1.59,1.97
250000	8	5203	23.46	1.955	1.216	62.2	53	0.97,0.98,0.99,0.99,1.30,1.31,1.32,1.96,1.97,3.86,3.90,3.91
250000	8	5204	12.41	1.034	0.316	30.5	4	0.77,0.77,0.77,0.78,0.78,0.78,1.07,1.07,1.21,1.21,1.56,1.63
250000	16	5203	23.41	1.951	1.163	59.6	167	0.84,0.85,0.87,0.88,0.88,2.15,2.18,2.48,2.50,2.52,2.56,4.71
250000	16	5204	12.41	1.034	0.485	46.9	19	0.53,0.53,0.53,0.53,0.99,0.99,1.07,1.07,1.20,1.20,1.67,2.09
1000000	1	5203	23.45	1.954	1.277	65.4	86	0.67,0.77,0.83,0.84,0.84,1.76,1.96,1.98,2.18,3.84,3.88,3.90
1000000	1	5204	12.41	1.034	0.688	66.6	0	0.45,0.45,0.45,0.45,0.69,0.69,0.69,1.13,1.13,1.99,2.01,2.30
1000000	8	5203	21.06	1.755	0.451	25.7	0	1.31,1.31,1.32,1.33,1.67,1.76,1.77,1.78,1.79,1.79,2.60,2.62
1000000	8	5204	12.41	1.034	0.637	61.6	11	0.51,0.51,0.51,0.51,0.67,0.67,0.67,1.18,1.18,1.91,1.94,2.18
1000000	16	5203	23.43	1.952	1.352	69.2	43	0.96,0.98,1.00,1.01,1.01,1.64,1.66,1.67,2.02,2.03,4.69,4.73
1000000	16	5204	12.41	1.034	0.473	45.8	12	0.60,0.60,0.60,0.60,0.88,0.88,0.88,1.25,1.25,1.33,1.33,2.21
5000000	1	5203	23.41	1.951	0.930	47.7	46	1.12,1.21,1.22,1.24,1.26,1.78,1.94,2.22,2.28,2.30,2.39,4.44
5000000	1	5204	12.41	1.034	0.268	25.9	7	0.66,0.66,0.66,1.03,1.03,1.06,1.06,1.16,1.16,1.17,1.17,1.59
5000000	8	5203	23.46	1.955	0.658	33.6	8	1.30,1.31,1.34,1.92,1.92,1.96,1.96,1.96,1.98,1.98,1.99,3.83
5000000	8	5204	12.41	1.034	0.594	57.4	13	0.56,0.56,0.56,0.56,0.73,0.73,0.73,1.03,1.03,1.86,1.94,2.12
5000000	16	5203	23.46	1.955	1.215	62.1	68	0.98,0.99,0.99,0.99,1.30,1.31,1.32,1.95,1.97,3.89,3.89,3.89
5000000	16	5204	12.41	1.034	0.458	44.3	7	0.60,0.60,0.60,0.60,0.90,0.90,0.90,1.16,1.16,1.46,1.46,2.08
